,filename,Percentile value of 90 %,Percentile value of 75 %
45,n04023962_11965,[0.7972474098205566],[0.6525417566299438]
46,n04023962_12095,[0.7723451256752014],[0.6448123455047607]
47,n04023962_12108,[0.5671876668930054],[0.5001423358917236]
48,n04023962_12111,[0.17249339818954468],[0.1420501172542572]
49,n04023962_12148,[0.9452384114265442],[0.7994605898857117]
50,n04023962_1217,[0.77482670545578],[0.6577519178390503]
51,n04023962_1232,[0.9655860066413879],[0.8256364464759827]
52,n04023962_12424,[0.8118160367012024],[0.600007951259613]
53,n04023962_12432,[0.7262060046195984],[0.5379589796066284]
54,n04023962_12434,[0.762715756893158],[0.5744051337242126]
55,n04023962_12467,[0.7303335666656494],[0.5839139223098755]
56,n04023962_12492,[0.736636221408844],[0.5791627764701843]
57,n04023962_12496,[0.8636984825134277],[0.7219835519790649]
58,n04023962_12527,[0.5929206609725952],[0.41522079706192017]
59,n04023962_12548,[0.7246494889259338],[0.5427713990211487]
60,n04023962_12625,[0.910428524017334],[0.8257452845573425]
61,n04023962_1277,[0.5221554636955261],[0.3058548867702484]
62,n04023962_12984,[0.7922519445419312],[0.7344831824302673]
63,n04023962_13058,[0.39709967374801636],[0.28428736329078674]
64,n04023962_13092,[0.8677722215652466],[0.6856122016906738]
65,n04023962_1311,[0.6704395413398743],[0.5369700789451599]
66,n04023962_13175,[0.3769119083881378],[0.2965311110019684]
67,n04023962_13239,[0.968934178352356],[0.7889041304588318]
68,n04023962_1324,[0.6444661617279053],[0.3854045271873474]
69,n04023962_13249,[0.7399369478225708],[0.586320161819458]
70,n04023962_1327,[0.8729745149612427],[0.7533234357833862]
71,n04023962_13343,[0.805952250957489],[0.6733973622322083]
72,n04023962_1337,[0.4259415566921234],[0.25068584084510803]
73,n04023962_13495,[0.8078414797782898],[0.785252034664154]
74,n04023962_13498,[0.6894822120666504],[0.46431565284729004]
75,n04023962_13613,[0.903522789478302],[0.7086457014083862]
76,n04023962_13783,[0.7568058967590332],[0.5993576645851135]
77,n04023962_13979,[0.911566972732544],[0.8454410433769226]
78,n04023962_14085,[0.7560528516769409],[0.5205106735229492]
79,n04023962_14110,[0.6591041684150696],[0.5477880239486694]
80,n04023962_14166,[0.8243616223335266],[0.6166341304779053]
81,n04023962_14170,[0.46453940868377686],[0.35710933804512024]
82,n04023962_14195,[0.9322533011436462],[0.9286642670631409]
83,n04023962_14216,[0.7111208438873291],[0.5337827205657959]
84,n04023962_14286,[0.9926509261131287],[0.8842516541481018]
85,n04023962_14300,[0.6698624789714813],[0.44502705335617065]
86,n04023962_14322,[0.9324328899383545],[0.9179919362068176]
87,n04023962_14363,[0.8481767773628235],[0.7846863269805908]
88,n04023962_1437,[0.6424276828765869],[0.43797847628593445]
89,n04023962_14410,[0.26767316460609436],[0.22043171525001526]
90,n04023962_14421,[0.5698883533477783],[0.4139401614665985]
91,n04023962_14464,[0.6971456408500671],[0.4633740782737732]
92,n04023962_14498,[0.9115229249000549],[0.6194988638162613]
93,n04023962_14595,[0.7869153022766113],[0.5726505666971207]
94,n04023962_14630,[0.7310599088668823],[0.5758649110794067]
95,n04023962_14727,[0.4350159764289856],[0.3628179430961609]
96,n04023962_14756,[0.8660592436790466],[0.716753363609314]
97,n04023962_14865,[0.7122699618339539],[0.6026463508605957]
98,n04023962_1489,[0.6191161274909973],[0.44939613342285156]
99,n04023962_14943,[0.5346058011054993],[0.46901217103004456]
100,n04023962_14954,[0.564160168170929],[0.42071497440338135]
101,n04023962_14997,[0.6605370044708252],[0.4929530918598175]
102,n04023962_15133,[0.5734448432922363],[0.43962782621383667]
103,n04023962_15238,[0.9971182346343994],[0.8869650363922119]
104,n04023962_15299,[0.8846345543861389],[0.6690535545349121]
105,n04023962_15324,[0.7793151140213013],[0.562073290348053]
106,n04023962_15417,[0.5537590980529785],[0.36950504779815674]
107,n04023962_15496,[0.5445811748504639],[0.2838948369026184]
108,n04023962_15513,[0.5094530582427979],[0.35111203789711]
109,n04023962_15544,[0.7673147916793823],[0.6314226388931274]
110,n04023962_15613,[0.9341002702713013],[0.8228614330291748]
111,n04023962_15676,[0.6472265124320984],[0.5463133454322815]
112,n04023962_15701,[0.7697421312332153],[0.6022506952285767]
113,n04023962_15702,[0.7913824915885925],[0.6028477549552917]
114,n04023962_15732,[0.865277886390686],[0.6351593136787415]
115,n04023962_15738,[0.5529232025146484],[0.3851619064807892]
116,n04023962_1580,[0.8024774193763733],[0.6763142347335815]
117,n04023962_15801,[0.49295997619628906],[0.45888838171958923]
118,n04023962_1582,[0.7683836221694946],[0.5336387753486633]
119,n04023962_15856,[0.8226568698883057],[0.6036587953567505]
120,n04023962_15858,[0.9219187498092651],[0.732475757598877]
121,n04023962_15879,[0.7846594452857971],[0.6882593631744385]
122,n04023962_15883,[0.8483262062072754],[0.6994872093200684]
123,n04023962_15978,[0.8487602472305298],[0.5432801842689514]
124,n04023962_16004,[0.759802520275116],[0.6283606290817261]
125,n04023962_16117,[0.873274028301239],[0.7186722755432129]
126,n04023962_16165,[0.7701034545898438],[0.5315343141555786]
127,n04023962_16168,[0.7901098728179932],[0.6192930936813354]
128,n04023962_16169,[0.7396126985549927],[0.4934896230697632]
129,n04023962_16223,[0.7701998949050903],[0.6444867849349976]
130,n04023962_16254,[0.697917103767395],[0.4871889352798462]
131,n04023962_163,[0.6648557782173157],[0.6648557782173157]
132,n04023962_16469,[0.8392907381057739],[0.5702874064445496]
133,n04023962_16581,[0.727218508720398],[0.5352919697761536]
134,n04023962_16606,[0.5098525285720825],[0.42917120456695557]
135,n04023962_16710,[0.4502686858177185],[0.3421807289123535]
136,n04023962_16731,[0.7038002014160156],[0.5861392021179199]
